anio;departamento;n_municipios;area_cosechada_ha;area_sembrada_ha;produccion_t_original;rendimiento_t_ha_original;produccion_t;rendimiento_t_ha;correccion_aplicada;motivo_correccion;delta_produccion_t;delta_rendimiento_t_ha;rendimiento_medio_municipal_reportado;dif_rendimiento_calculado_vs_reportado;rendimiento_medio_t_ha;produccion_media_t;perdida_real_pct;evento_perdida_real
2017;Cundinamarca;69;30894.16;35425.18;33943.38755;1.098699157057515;33943.38755;1.098699157057515;0;;0.0;0.0;1.095443133707563;0.0032560233499521196;0.9251179044303589;30017.74408586024;18.763149193835872;0
2018;Cundinamarca;69;29085.24;33016.39;32580.24017;1.1201640478125674;32580.24017;1.1201640478125674;0;;0.0;0.0;1.1177759695822158;0.002388078230351587;0.9251179044303589;30017.74408586024;21.08338217735696;0
2019;Cundinamarca;69;25640.0;30255.2;30204.2;1.1780109204368174;30204.2;1.1780109204368174;0;;0.0;0.0;1.1373639425310933;0.040646977905724135;0.9251179044303589;30017.74408586024;27.33630111311891;0
2020;Cundinamarca;69;25550.0;29706.0;27898.88;1.0919326810176126;27898.88;1.0919326810176126;0;;0.0;0.0;1.0502021055549071;0.04173057546270553;0.9251179044303589;30017.74408586024;18.031731500210224;0
2021;Cundinamarca;69;25523.52;29566.48;25537.04;1.0005297075011597;25537.04;1.0005297075011597;0;;0.0;0.0;0.9947863236924801;0.0057433838086795586;0.9251179044303589;30017.74408586024;8.15158832292145;0
2022;Cundinamarca;68;25259.08;29006.49;20898.2;0.8273539653859127;20898.2;0.8273539653859127;0;;0.0;0.0;0.8270085000874878;0.00034546529842482965;0.9251179044303589;30017.74408586024;-10.567727483843733;0
2023;Cundinamarca;68;24601.52;27873.16;21772.12;0.8849908460940624;21772.12;0.8849908460940624;0;;0.0;0.0;0.8812806803656419;0.0037101657284205336;0.9251179044303589;30017.74408586024;-4.337507483546619;0
2024;Cundinamarca;68;23797.69;28112.1;27433.41;1.1527761728134118;27433.41;1.1527761728134118;0;;0.0;0.0;1.140397948370823;0.012378224442588737;0.9251179044303589;30017.74408586024;24.608567977422666;0
2007;Risaralda;14;47689.25;55714.64;72842.5;1.5274406705913806;72842.5;1.5274406705913806;0;;0.0;0.0;1.4444994965080937;0.08294117408328683;1.1849421095855788;46805.54021666667;28.904244201903424;0
2008;Risaralda;14;47227.0;55074.75;60079.0;1.2721324665974971;60079.0;1.2721324665974971;0;;0.0;0.0;1.142504926431778;0.1296275401657192;1.1849421095855788;46805.54021666667;7.358195502260635;0
