fecha;departamento;mes;anio;precipitation;temp_aire_C;humedad_relativa_pct;soil;def;pet;aet;GDD_cafe;NDVI;EVI;LST_Day_1km;LST_Night_1km;Gpp;Lai_500m;Fpar_500m;elevacion_media_m;elevacion_std_m;pendiente_media;pendiente_std;aspecto_medio;NDVI_anomalia_pct;EVI_anomalia_pct;Gpp_anomalia_pct;Lai_500m_anomalia_pct;precipitation_anomalia_pct;area_cosechada_ha;area_sembrada_ha;produccion_t;rendimiento_t_ha;rendimiento_medio_t_ha;produccion_media_t;factor_mensual;produccion_mensual_t;es_mes_cosecha;perdida_real_pct;perdida_real_mensual_pct;precio_ico_usd_ton;precio_productor_usd_ton
2002-01;Cundinamarca;1;2002;37.09668164;17.14802974;73.29910577;651.0993917;327.3199093;1134.071222;806.6665158;8.12167834;0.682847037;0.408509599;24.33772679;12.59729873;0.057881803;2.499244075;0.563701764;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;4.607877;2.955581687;8.706015289;7.030764355;-40.63161171;;;;;;;;;;;;1300;1014
2002-02;Cundinamarca;2;2002;48.51132404;17.64862354;71.66131871;411.8177256;572.2908418;1096.963365;524.6313418;8.504847099;0.621789982;0.365861373;25.66467527;12.69811316;0.051979535;2.205087269;0.535629826;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;10.89838279;4.314853371;9.985691419;23.19684374;-40.57448505;;;;;;;;;;;;1300;1014
2002-03;Cundinamarca;3;2002;167.4567307;17.69448083;74.20520367;904.2903852;1.974442353;1190.208396;1188.193086;8.331350899;0.481500828;0.30740147;27.19802848;12.70971265;0.048153726;4.070270685;0.58014646;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-7.378979055;-9.200101594;10.81787748;153.9656051;17.87505272;;;;;;;;;;;;1300;1014
2002-04;Cundinamarca;4;2002;264.7445525;16.85291623;85.42806795;1181.892004;0;874.7335604;874.6714391;8.047810904;0.517478515;0.356636813;24.18446391;9.293687325;0.046037803;1.258700381;0.325096347;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-0.586432939;1.091107996;3.904730229;-16.84115858;25.78168352;;;;;;;;;;;;1300;1014
2002-05;Cundinamarca;5;2002;220.4030925;17.1135404;82.59891984;1193.491285;0;907.5438415;907.5247953;8.363129214;0.504128256;0.347890844;24.83725025;12.90991645;0.053224662;1.571001858;0.370480077;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-2.347002315;1.027817606;11.16447669;-0.830027236;5.010114228;;;;;;;;;;;;1300;1014
2002-06;Cundinamarca;6;2002;171.0642757;16.53917501;81.61623906;1194.124072;0;848.4403403;848.2549571;7.489975463;0.524647342;0.354690484;22.66909607;10.4722163;0.056263276;1.928486872;0.433482745;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-0.699057639;1.665307371;11.28750172;9.782314057;9.185530492;;;;;;;;;;;;1300;1014
2002-07;Cundinamarca;7;2002;139.0390112;16.88157954;77.46265873;1132.574672;35.82442766;934.1992202;898.2054776;7.998798151;0.566157552;0.364320166;22.02130791;11.94334713;0.054830654;1.972880522;0.455504169;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;10.01918936;6.537146096;7.523056296;15.67374216;4.690028621;;;;;;;;;;;;1300;1014
2002-08;Cundinamarca;8;2002;116.4638252;17.03843563;74.40750111;994.8603045;100.2638111;992.8052386;892.4600734;8.187415926;0.499624698;0.320164825;25.9169574;11.16443045;0.053554991;1.47576105;0.360994056;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-7.073807903;-9.698724082;4.582918908;-10.72980029;-6.464715056;;;;;;;;;;;;1300;1014
2002-09;Cundinamarca;9;2002;128.0123872;17.29385416;74.96393178;1047.591586;24.05057929;1027.318536;1003.192879;8.127256791;0.604853808;0.398895404;25.93180311;12.98946862;0.054414778;2.028040133;0.490638232;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;8.31150288;6.50931446;8.821275851;13.6817831;0.558211293;;;;;;;;;;;;1300;1014
2002-10;Cundinamarca;10;2002;188.7969611;17.2635153;77.18708354;1162.537691;0;993.6244729;993.589287;8.072189532;0.554117249;0.355933942;25.74715524;12.20042857;0.047988172;1.878056347;0.448546347;1895.307361;1086.421734;14.45407126;10.32092083;185.295099;-2.091535989;-5.423444002;5.702130764;5.434972069;-9.434155838;;;;;;;;;;;;1300;1014
